company_code,company_shortName,fund_type,fund_scale,fund_scale_mean,fund_scale_rank,fund_amount,fund_amount_mean,fund_amount_rank,fund_manager_amount,fund_manager_amount_mean,fund_manager_amount_rank
80924817,惠升,混合型,45.47,360.46,86/158,9,34.22,105/158,2,11.59,129/158
80924817,惠升,,-,-,-/-,-,-,-/-,-,-,-/-
80560396,合煦智远,混合型,1.22,360.46,144/158,2,34.22,145/158,1,11.59,148/158
80560396,合煦智远,股票型,1.20,165.01,101/115,4,17.48,77/115,1,5.72,92/115
80560380,恒越,混合型,58.05,360.46,80/158,9,34.22,105/158,2,11.59,129/158
80560380,恒越,,-,-,-/-,-,-,-/-,-,-,-/-
80508384,恒生前海,股票型,1.47,165.01,98/115,5,17.48,73/115,1,5.72,92/115
80560379,弘毅远方,混合型,9.60,360.46,120/158,7,34.22,116/158,3,11.59,113/158
80508384,恒生前海,混合型,5.99,360.46,132/158,5,34.22,132/158,3,11.59,113/158
80560379,弘毅远方,股票型,7.65,165.01,78/115,2,17.48,91/115,1,5.72,92/115
80498278,汇安,股票型,10.37,165.01,75/115,8,17.48,56/115,3,5.72,53/115
80498278,汇安,混合型,117.48,360.46,68/158,47,34.22,39/158,12,11.59,56/158
80523667,华泰保兴,混合型,44.70,360.46,87/158,15,34.22,91/158,5,11.59,97/158
80523667,华泰保兴,股票型,3.09,165.01,89/115,1,17.48,106/115,1,5.72,92/115
80092743,华融证券,,-,-,-/-,-,-,-/-,-,-,-/-
80092743,华融证券,,-,-,-/-,-,-,-/-,-,-,-/-
80385906,红土创新,混合型,10.93,360.46,119/158,7,34.22,116/158,5,11.59,97/158
80385906,红土创新,股票型,4.13,165.01,85/115,6,17.48,65/115,4,5.72,42/115
80053204,华商,混合型,307.83,360.46,40/158,43,34.22,46/158,14,11.59,49/158
80053204,华商,股票型,13.04,165.01,70/115,7,17.48,60/115,6,5.72,26/115
80000250,华宝,混合型,286.16,360.46,43/158,49,34.22,34/158,23,11.59,17/158
80000250,华宝,股票型,554.07,165.01,12/115,45,17.48,16/115,14,5.72,14/115
80000228,华安,混合型,"1,467.42",360.46,15/158,102,34.22,12/158,31,11.59,12/158
80000228,华安,股票型,460.62,165.01,14/115,34,17.48,18/115,10,5.72,22/115
80205263,红塔红土,混合型,17.30,360.46,111/158,17,34.22,87/158,2,11.59,129/158
80205263,红塔红土,,-,-,-/-,-,-,-/-,-,-,-/-
80424273,泓德,混合型,924.44,360.46,19/158,27,34.22,68/158,7,11.59,80/158
80424273,泓德,股票型,42.50,165.01,47/115,1,17.48,106/115,1,5.72,92/115
80053708,汇添富,混合型,"3,570.97",360.46,2/158,115,34.22,9/158,31,11.59,12/158
80053708,汇添富,股票型,760.74,165.01,10/115,68,17.48,9/115,20,5.72,6/115
80067635,汇丰晋信,混合型,56.65,360.46,81/158,12,34.22,94/158,7,11.59,80/158
80067635,汇丰晋信,股票型,167.71,165.01,24/115,18,17.48,28/115,11,5.72,19/115
80000064,华安证券,混合型,7.69,360.46,126/158,3,34.22,142/158,2,11.59,129/158
80000064,华安证券,,-,-,-/-,-,-,-/-,-,-,-/-
80000222,华夏,混合型,"1,809.85",360.46,11/158,129,34.22,7/158,47,11.59,2/158
80000222,华夏,股票型,"2,041.34",165.01,1/115,95,17.48,1/115,21,5.72,4/115
80391977,华泰证券(上海),混合型,24.40,360.46,105/158,8,34.22,109/158,4,11.59,104/158
80391977,华泰证券(上海),股票型,2.42,165.01,91/115,1,17.48,106/115,1,5.72,92/115
80037023,华富,混合型,38.98,360.46,92/158,24,34.22,73/158,8,11.59,74/158
80037023,华富,股票型,13.05,165.01,69/115,7,17.48,60/115,3,5.72,53/115
80055334,华泰柏瑞,混合型,423.90,360.46,32/158,78,34.22,20/158,17,11.59,37/158
80055334,华泰柏瑞,股票型,825.65,165.01,8/115,30,17.48,20/115,6,5.72,26/115
80201857,华宸未来,混合型,0.25,360.46,154/158,1,34.22,157/158,1,11.59,148/158
80201857,华宸未来,,-,-,-/-,-,-,-/-,-,-,-/-
80000246,海富通,混合型,455.47,360.46,29/158,56,34.22,28/158,17,11.59,37/158
80000246,海富通,股票型,14.13,165.01,66/115,20,17.48,26/115,6,5.72,26/115
80199117,华润,混合型,8.84,360.46,123/158,13,34.22,93/158,6,11.59,86/158
80199117,华润,股票型,3.81,165.01,86/115,4,17.48,77/115,3,5.72,53/115
80048088,光大保德信,混合型,163.72,360.46,58/158,43,34.22,46/158,14,11.59,49/158
80048088,光大保德信,股票型,73.96,165.01,37/115,6,17.48,65/115,5,5.72,35/115
80355783,国寿安保,混合型,243.04,360.46,47/158,51,34.22,33/158,17,11.59,37/158
80355783,国寿安保,股票型,99.24,165.01,33/115,13,17.48,39/115,5,5.72,35/115
80156175,国泰君安资管,,-,-,-/-,-,-,-/-,-,-,-/-
80156175,国泰君安资管,混合型,225.86,360.46,50/158,6,34.22,120/158,5,11.59,97/158
80056613,高华证券,,-,-,-/-,-,-,-/-,-,-,-/-
80056613,高华证券,,-,-,-/-,-,-,-/-,-,-,-/-
80548351,格林,混合型,6.19,360.46,131/158,8,34.22,109/158,1,11.59,148/158
