fund_type,code,name,today,net_value,accumulative_value,rate_day,rate_recent_week,rate_recent_month,rate_recent_3month,rate_recent_6month,rate_recent_year,rate_recent_2year,rate_recent_3year,rate_from_this_year,rate_from_begin,rate_buy,url
hh,	002088,国富新机遇混合C,2020-04-24,1.2740,1.3060,0.0786,0.3940,2.6591,3.2415,7.3294,15.6079,20.8729,26.2636,3.8304,31.4432,0.00%,http://fund.eastmoney.com/	002088.html
hh,	004434,博时逆向投资混合A,2020-04-24,1.2244,1.2244,-0.5927,0.3936,6.7108,3.7364,27.7680,33.0292,43.6415,22.3421,9.2629,22.3666,0.15%,http://fund.eastmoney.com/	004434.html
hh,	005165,富荣福锦混合C,2020-04-24,1.1490,1.1490,-0.3296,0.3932,10.7897,6.2806,10.5658,18.9811,14.6478,,5.9474,14.90,0.00%,http://fund.eastmoney.com/	005165.html
hh,	001388,中融新经济混合C,2020-04-24,1.5340,1.5340,-1.0323,0.3927,9.0263,9.8854,23.5105,44.9905,39.0752,37.7020,15.3383,53.40,0.00%,http://fund.eastmoney.com/	001388.html
hh,	004853,广发价值回报混合C,2020-04-24,1.1255,1.1255,-0.0888,0.3925,2.5606,2.4113,3.7805,5.0201,8.8597,,2.5793,12.55,0.00%,http://fund.eastmoney.com/	004853.html
hh,	002087,国富新机遇混合A,2020-04-24,1.2810,1.3190,0.0781,0.3918,2.6442,3.3064,7.3763,15.8227,21.3068,26.7062,3.8929,33.0092,0.10%,http://fund.eastmoney.com/	002087.html
hh,	004435,博时逆向投资混合C,2020-04-24,1.2057,1.2057,-0.5854,0.3913,6.6708,3.6181,27.4524,32.3636,42.2151,20.4857,9.1033,20.4977,0.00%,http://fund.eastmoney.com/	004435.html
hh,	002233,工银丰收回报灵活配置混合C,2020-04-24,1.2830,1.2830,-0.3882,0.3912,3.0522,2.3126,7.8151,11.7596,15.4815,26.0314,2.9695,28.30,0.00%,http://fund.eastmoney.com/	002233.html
hh,	007318,中银民丰回报混合,2020-04-24,1.0538,1.0538,0.1045,0.3906,2.2015,3.9456,5.38,,,,3.5472,5.38,0.12%,http://fund.eastmoney.com/	007318.html
hh,	002263,泰达宏利大数据混合A,2020-04-24,1.3448,1.3448,-0.7454,0.3882,8.5391,1.4790,10.0761,3.9258,15.2159,17.6759,2.8213,34.48,0.15%,http://fund.eastmoney.com/	002263.html
hh,	003484,金鹰鑫益混合A,2020-04-24,1.1661,1.1661,-0.1798,0.3874,2.3074,2.9669,5.4531,7.7328,8.4643,15.6042,2.6587,16.61,0.10%,http://fund.eastmoney.com/	003484.html
hh,	001581,华安沪港深通精选灵活配置混合,2020-04-24,1.5550,1.6740,-2.1397,0.3874,6.2884,-1.3950,9.5842,15.3561,26.9034,71.7528,-1.0185,71.0658,0.15%,http://fund.eastmoney.com/	001581.html
hh,	006615,工银战略新兴产业混合A,2020-04-24,1.4011,1.4011,-0.9683,0.3869,9.3158,7.4546,24.9643,40.11,,,16.1004,40.11,0.15%,http://fund.eastmoney.com/	006615.html
hh,	002322,银华汇利灵活配置混合C,2020-04-24,1.5580,1.5580,0,0.3866,1.8966,2.8383,4.9865,8.3449,14.6431,22.3881,3.2472,23.4548,0.00%,http://fund.eastmoney.com/	002322.html
hh,	006861,招商和悦稳健养老(FOF)A,2020-04-22,1.1167,1.1167,0.1166,0.3866,1.6753,2.1964,8.3754,,,,5.1804,11.67,0.12%,http://fund.eastmoney.com/	006861.html
hh,	003485,金鹰鑫益混合C,2020-04-24,1.1696,1.1696,-0.1792,0.3862,2.3093,2.9487,5.4169,7.5890,8.7494,16.0433,2.6325,16.96,0.00%,http://fund.eastmoney.com/	003485.html
hh,	001183,南方利淘A,2020-04-24,1.30,1.30,-0.1536,0.3861,2.1210,1.8011,4.1667,9.4276,14.0351,19.8157,2.3622,30,0.12%,http://fund.eastmoney.com/	001183.html
hh,	001572,嘉合磐石C,2020-04-24,1.0670,1.3170,0.0469,0.3857,2.4779,3.8544,5.2694,7.7675,16.2749,23.0170,4.7825,34.5806,0.00%,http://fund.eastmoney.com/	001572.html
